project_name,starting_date,completion_date,fund_acronym,theme_name,total_amount,eu_cofinancing_amount,project_description,beneficiary_nuts_region,beneficiary_name,beneficiary_address,beneficiary_postal_code,beneficiary_city,amount,amount_kind,approval_date,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_person,beneficiary_url,cci_program_code,currency,eu_cofinancing_amount_eligible,eu_cofinancing_rate,final_payment_date,first_payment_date,funding_period,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_status,source,theme_code,third_party_amount,total_amount_applied,total_amount_eligible
Vækstplan Lolland Analyse,2011-01-17,2011-06-30,ERDF,Innovation og videndeling,493830,246915,"Lolland Kommune har taget initiativ til at igangsætte en proces omkring en udvikling og implementering af en vækstplan for Lolland for at imødegå de store udfordringer, som lukningen af Vestas har ført med sig. Med udgangspunkt i de styrker og potentialer, som området er kendetegnet ved, vil der med en skræddersyet vækstplan blive sat offensivt ind for at skabe vækst og udvikling og dermed sikre, at Nakskov og Lolland igen kommer på ret kurs. Der er dog behov for et fagligt fundament for vækstplan Lolland. Med dette projekt gennemføres derfor en analyse, der vil kvalificere grundlaget for at identificere, hvilke konkrete initiativer der igangsættes og hvordan de konkret gennemføres",DANMARK,Lolland Kommune,Jernbanegade 7,4930,Maribo,33127.38981695173484290362076,eu_cofinancing_amount,,DANMARK,DK,,Kommune lolland,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
VækstSkagen - feasibility af vækst- og innovationspotentialerne ved de maritime- og havnerelaterede erhverv i Skagen,2011-02-15,2011-08-31,ERDF,Innovation og videndeling,498808.8,249404.4,"Formålet med denne feasibility analyse er at få afdækket og analyseret nogle af de forretningsområder, der kan bidrage til at videreudvikle den nuværende erhvervsstruktur i Skagen og dermed skabe grundlag for flere og nye arbejdspladser. Denne feasibility analyse har udgangspunkt i de martitme og havnerelaterede erhverv og fokus på at afdække disse erhvervs innovationsmuligheder og vækstpotentiale samt at afdække vilkår og forudsætninger for realisering heraf. Der er særlig fokus på innovative maritime forretningsområder med et miljø- og klimamæssigt sigte.",DANMARK,Frederikshavn Kommune,Rådhus Alle 100,9900,Frederikshavn,33549.65010075248408085712981,eu_cofinancing_amount,,DANMARK,DK,,Frederikshavn kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Handlingsplan for erhvervsmæssig fornyelse i Ringkøbing-Skjern området,2011-08-01,2012-05-31,ERDF,Innovation og videndeling,510602.63,250000,"Hensigten med dette handlingsplan-projekt er at få udarbejdet en vidensbaseret handlingsplan for erhvervsmæssig fornyelse i Ringkøbing-Skjern området. Handlingsplanen skal bidrage til at skabe øget innovation og iværksætteri i området inden for de lokale erhvervsmæssige styrkepositioner og potentielle styrkepositioner, som er hhv. maskin- og metalindustri, fødevarefremstilling og landbrug, turisme og endelig ""den grønne satsning"".Videngrundlaget til brug for udarbejdelsen af handlingsplanen skal skabes gennem kobling af eksisterende analyser og viden på området med nyindhentet viden fra blandt andet centrale lokale videnspersoner samt nationale eksperter på de pågælende områder. Herigennem skal der skabes klarhed over, hvilke innovations-initiativer og iværksætter-initiativer, som i den aktuelle lokale kontekst i Ringkøbing-Skjern området kan forventes at få størst mulig gavnlig effekt i forhold til de investerede ressourcer.Handlingsplanen skal baseres på en dybdegående afdækning af temaet fornyelse, og her er det vigtigt at få afdækket, hvad der er de basale forudsætninger og barrierer for at skabe øget innovation og iværksætteri i området. Samtidig skal anbefalingerne til indhold i en handlingsplan ikke blot fokusere på indsatser, som kommunen umiddelbart og på egen hånd kan igangsætte, men også på initiativer, der f.eks. kræver påvirkning af regionale og nationale instanser eller kræver tværkommunale samarbejder.",DANMARK,Ringkøbing-Skjern Kommune,Ved Fjorden 6,6950,Ringkøbing,33061.45116724999721835587252,eu_cofinancing_amount,,DANMARK,DK,,Kommune ringkobing skjern,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Undersøgelse vedrørende specifik erhvervs- og kompetenceudvikling på Mors,2011-07-18,2012-02-15,ERDF,Innovation og videndeling,523755,260000,"Projektet skal undersøge mulighederne for en accelereret udvikling på en række specifikke initiativområder, som kan være med til at fremme erhvervs- og kompetenceudviklingen i området. Det skal ske på et solidt fagligt og veldokumenteret grundlag med fokus på områdets erhvervsmæssige potentiale. Det skal resultere i et anvendelsesorienteret redskab som grundlag for at skabe nye erhvervsmuligheder i området. Det er derfor væsentligt, at løsningen fokuserer på områdets vækstmuligheder set i forhold til både eksisterende resurseområder og fremtidsscenarier, som Mors og relevante omegne står over for. Heri indgår således også overvejelser om samarbejdsmuligheder mv. med relevante myndigheder, institutioner og omegne. Der skal udvikles en handlingsorienteret vækst- og udviklingsstrategi på følgende temaområder, jf. Morsø Kommunes kommuneplanstrategier, bæredygtighedsstrategi, erhvervs- og turismestrategi og bosætningsstrategi, hvilket indebærer identifikation og udvikling af oplagte forslag (business cases) inden for følgende initiativområder,: 1. turisme- og oplevelsesøkonomi, 2. SMV- og iværksætterniveau, 3. fødevareerhvervene og detailhandel, 4. energiproduktion og energiforsyning i en erhvervsmæssig kontekst, 5. kompetenceudvikling af arbejdsstyrken og 6. styrkelse af ungdomsuddannelsesområdet. Beskrivelsen af mulige projekter og handlinger for de udvalgte initiativområder vil skabe grundlag for iværksættelse af konkrete initiativer, som over de nærmeste par år vil styrke erhvervs- og beskæftigelsesudviklingen på Mors. En stor del af indsatsen vil dreje sig om at styrke virksomhedernes innovation, og herunder motivere dem til i større omfang at anvende de programmer, der støtter denne indsats. Med den eksisterende erhvervsstruktur på Mors er målgruppen primært SMV'ere, og indsatsen vil blandt ander have til formål at øge medarbejderdreven og brugerdreven innovation. Det skal føre til større innovation, videndeling og videnopbygning i virksomhederne for at styrke deres produkt-, proces- og markedsudvikling.",DANMARK,Morsø Kommune,Jernbanevej 7,7900,Nykøbing M,34903.98959580000348701389612,eu_cofinancing_amount,,DANMARK,DK,,Kommune morso,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Læsø Kur som vækstdynamo,2014-01-06,2015-06-30,ERDF,Innovation og videndeling,548551.82,246848.32,"Formålet med projektet ""Læsø Kur som vækstdynamo"" er at iværksætte konkrete markedsrettede tiltag der styrker Læsø Kur's markedsmæssige position og skaber vækst og beskæftigelse. I forhold til den oprindelige ansøgning, er der lavet en række tilpasninger. Læsø Kur søger ikke længere til kurlejligheder, fitness og café. Nu søges der om støtte til udvikling af nye sæbe/cremeprodukter, webshop og kompetenceudvikling. Projektperioden løber fra 1. marts 2014 til 30. juni 2015. Projektets formål er herefter at udvikle et til tre nye sæbe/cremeprodukter til psoriasispatienter. Læsø Kur har i dag et forretningskoncept, hvor et 100% natur-biprodukt fra saltsydningsprocessen hos Læsø Salt anvendes i vandbassinerne hos Læsø Kur. Biproduktet har vist en gunstig virkning på disse psoriasispatienter. Med afsæt i Læsø Kurs kontakt til patienter, hudlæger og dermatologer ønsker Læsø Kur at inddrage disse partnere i en innovationsproces til udvikling af et nyt sæbe og/eller cremeprodukt, der tilgodeser psoriasispatienternes behov.",DANMARK,Læsø Fonden,Hornfiskrønvej 3,9940,Læsø,33114.79520734287041194399137,eu_cofinancing_amount,,DANMARK,DK,,Fonden laeso,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Uddannelse efter Vestas Nakskov,2011-01-11,2012-01-31,ESF,Udvikling af menneskelige ressourcer,581134.43,273711.69,"FormålProjektets formål er gennem uddannelse at forbedre beskæftigelsesmulighederne for de ledige efter lukningen af Vestas vindmøllefabrik i Nakskov. Dette søges gennemført ved at kombinere midler fra 3 instanser:3 uger undervisning betalt af VESTAS (ikke en del af projektets økonomi)8 ugers undervisning betalt gennem varslingspuljen (ikke en del af projektets økonomi)De resterende uger et grundforløb på EUD varer, samt støtteforanstaltninger til gennemførelse af uddannelsen (projektet)Hovedaktiviteter Projektets hovedaktivitet består i uddannelse af ca. 70 ufaglærte tidligere Vestasmedarbejdere således at de fuldfører et EUD-grundforløb på 20 ugers varighed. Et forløb, der sætter dem i stand til at fuldføre uddannelsen gennem et voksenlærlingeforløb. De afskedigede medarbejdere har gennem længere ansættelsesforløb hos Vestas vist jobstabilitet, men samtidigt har en væsentlig del af dem problemer i forhold til basale læse -, skrive- og regnefærdigheder. Ifølge tillidsrepræsentanter fra Vestas er der en hel del der har brug for ekstra hjælp for at kunne gennemføre et grundforløb på EUD. Derfor vil der, ud over den ordinære FVU, tilbydes forløb, hvor der gennemføres specieltilrettet undervisning på FVU-niveau. Den specieltilrettede undervisning beskrives og der indhentes tilbud på gennemførelse.ResultaterDen forventede effekt af projektet er at mere en 80% af deltagerne gennemfører uddannelsen.",DANMARK,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster",Kringelborg Alle 7,4800,Nykøbing F,36722.57194616224203585458374,eu_cofinancing_amount,,DANMARK,DK,,Celf center erhvervsrettede falster for lolland uddannelse,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Fremtidens iværksætterkompetencer - delprojekt B Oprettelse og drift af vækstgrupper,2008-01-01,2011-02-28,ESF,Etab. og udvikling af nye virksomh.,604278.21,302139.1,"Vækstforum Midtjylland har i den regionale erhvervsstrategi sat som mål, at den regionale etablerings- og overlevelsesrate samt andel af vækstiværksættere skal øges inden 2015. I partnerskabsaftalen med regeringen er det aftalt, at andelen af vækstiværksættere skal øges fra de nuværende 4% (125 vækstiværksættere) til 8% (250 vækstiværksættere) i 2015. For at nå dette ambitiøse mål igangsættes et iværksætterprogram med et betydeligt bidrag af tilbud og ydelser til det samlede erhvervsservicesystem i region Midtjylland. Programmet tager udgangspunkt i og understøtter en sammenhængende og gennemskuelig erhvervsserviceinfrastruktur, hvor der lokalt findes basistilbud til alle iværksættere, som tilbydes vejledning og rådgivning om start, drift og udvikling af virksomhed. Iværksætterprogrammet er målrettet de iværksættere, som på grund af ambitioner og problemstillinger har behov for viden og rådgivning ud over det lokale basistilbud. De tilbydes mulighed for deltagelse i vækstgrupper. For at fremme en sammenhængende og gennemskuelig erhvervsservice i region Midtjylland, understøtter programmet desuden det samlede system med kompetenceudvikling til vejledere i såvel den lokale erhvervsservice som i Væksthus Midtjylland. Endvidere indgår afholdelse af iværksætterkurser.Denne ansøgning er et svar på et konkret udbud fra Vækstforum Midtjylland (der henvises til vedhæftet ansøgning til Vækstforum Midtjylland). Hele projektet er delt op i flere delprojekter, se derfor også ""Fremtidens iværksætterkompetencer. Delprojekt A: Administration og projektledelse"" ""Fremtidens iværksætterkompetencer. Delprojekt C: Målrettede netværk af nyetablerede virksomheder"" og ""Fremtidens iværksætterkompetencer. Delprojekt D: Kompetenceudvikling""",DANMARK,Væksthus Midtjylland,Åbogade 15,8200,Århus N,40207.57700524930728195049934,eu_cofinancing_amount,,DANMARK,DK,,Midtjylland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Bornholms A/S - Anlægsinvesteringer,2009-11-02,2011-12-31,ERDF,Innovation og videndeling,617049.92,185114.98,"Bornholms A/S er en mere end 94 årig konservesfabrik, som har udarbejdet en ny vækststrategi bl.a. omhandlende ny produkt- og emballagestrategi, som skal medvirke til at fremtidssikre virksomheden indenfor fødevarebranchen, samt styrke dens internationale konkurrenceevne og lønsomhed.Dette er blandt sket i en dialog med markedet.Derfor er det nødvendigt med investering i bygningsmæssige ændringer for at opnå det mest optimale og rationelle produktionsflow.De bygningsmæssige ændringer omfatter bl.a. adgangssluser til varehåndtering, opdeling af lokaler, splitfriruder - dette også for at opfylde fremtidige krav som eksporterende virksomhed.I dag pakkes og leveres produkterne i konservesdåser og glas. Der skal udvikles nye emballagetyper. Virksomheden skal IFS (International Food Standard) og BRC (British Tetail Consortium - kræver supermarkedskæder i England) certificeres, og dermed leve op til fremtidens markeds- og kundekrav. Større dele af de producerede produkter leveres igennem food service, men i fremtiden skal vi også kunne levere til storkøkkener, kantiner og catering. Dette kræver også autorisation til kølevarer. Gennemførelse af dette projektforløb kræver at virksomheden tilegner sig den nødvendige know how, bl.a. gennem køb af ekstern bistand m.m.Derfor er der samtidig med denne ansøgning fremsendt ansøgning om medfinansiering af produktudvikling, og tilsammen er disse investeringer afgørende for realiseringen af virksomhedens vækst- og markedstrategi.Denne ansøgning omfatter medfinansiering af investeringer til bygningsmæssige ændringer.",DANMARK,Bornholms A/S,Stenbrudsvej 35,3730,Nexø,24806.17373155927487309913015,eu_cofinancing_amount,,DANMARK,DK,,A bornholms s,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Afprøvning af potentiale for Transport- og Logistikklynge,2013-11-01,2014-08-31,ERDF,Innovation og videndeling,623607.17,311803.59,"Projektet har til formål at gå i dialog med erhverv og videninstitutioner om behov og potentiale for etablering af en international klynge for transport og logistik med geografisk udgangspunkt i Region Sjælland, herunder arbejde med koncept for en formaliseret klyngeorganisation, der kan fungere som koordinator og katalysator for samspil om udvikling og vækst.Transport- og logistiksektoren er interessant, idet der er en koncentration af virksomheder indenfor disse erhverv, der dækker dele af Region Sjælland og strækker sig ind i hovedstadsområdet. Med de kommende års massive investeringer i infrastrukturanlæg, herunder Femern Bælt forbindelsen og den nye jernbane mellem København og Ringsted, styrkes rammebetingelserne for denne sektor. Projektet ønsker at undersøge, hvordan disse muligheder kan udnyttes til øget vækst og beskæftigelse i et styrket samarbejde mellem erhvervet, videninstitutioner og offentlige parter.Gennem workshops, interviews og dialogmøder mellem aktører og interessenter på området, vil projektet afprøve behovet og interessen for initiering af et systematisk samarbejde om innovation, forskning og udvikling samlet i en klyngeorganisation. Klyngeinitiativet kan på sigt bidrage til styrket konkurrenceevne, bæredygtig vækst og øget beskæftigelse blandt transport- og logistikvirksomheder i Region Sjælland, og hjælpe særligt små og mellemstore virksomheder med at øge deres innovationskapacitet og orientering mod et globaliseret arbejds- og varemarked.",DANMARK,Køge Kommune,Torvet 1,4600,Køge,41805.69425085627232942631082,eu_cofinancing_amount,,DANMARK,DK,,Koge kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Lollandsprojektet,2009-03-01,2012-02-28,ESF,Udvikling af menneskelige ressourcer,648938,243581.25,"Projektet vil tilbyde ledige borgere i Lolland Kommune vejledning og opkvalificering kombineret med kompetenceudvikling i lokale virksomheder. Projektet vil forberede de ledige til beskæftigelse indenfor nøgleområder beskrevet i Lolland Kommunes Erhvervs- og Udviklingsstrategi - til flaskehalse i brancher på det ordinære arbejdsmarked - eller til efterfølgende opkvalificering på lokale uddannelsesinstitutioner.Projektet vil understøtte et højt og konsensuspræget niveau hos jobcentrets medarbejdere, både med hensyn til visitation til Lollandsprojektets enkelte dele og med hensyn til vejledningsaktiviteter. Det er planen at bygge på og udvikle medarbejdernes vejlednings- og visitationskompetencer.Der tilknyttes evaluator under hele projektet for at give partnerne viden om offentligt-privat samarbejde indenfor kompetenceudvikling af ledige.",DANMARK,Lolland Kommune,Jernbanegade 7,4930,Maribo,32745.05733112514713669533029,eu_cofinancing_amount,,DANMARK,DK,,Kommune lolland,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Specialiseret rådgivning for vækstiværksættere. Delprojekt D: Iværksætternetværk,2008-01-01,2011-02-28,ERDF,Etab. og udvikling af nye virksomh.,658935.69,329467.85,"Se beskrivelse under ""Specialiseret rådgivning for vækstiværksættere. Delprojekt A: Administration og projektledelse""",DANMARK,Væksthus Midtjylland,Åbogade 15,8200,Århus N,43844.38806373927765116654820,eu_cofinancing_amount,,DANMARK,DK,,Midtjylland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Udviklingsplatform i Region Midtjylland for virksomhedernes sociale engagement og et rummeligt arbejdsmarked,2007-11-01,2009-04-02,ESF,Udvikling af menneskelige ressourcer,730049.66,365024.83,"Formålet med projektet er at undersøge forudsætningerne for etablering af en Udviklingsplatform for virksomhedernes sociale engagement og et rummeligt arbejdsmarked med det formål at fastholde, udvide og udvikle arbejdsstyrken som forudsætning for den regionale vækst og velfærd.Dette vil ske i et samarbejde mellem lokale netværk og aktører, som arbejder med gensidigt forpligtende partnerskab mellem virksomhederne og de beskæftigelsespolitiske aktører. Arbejdet skal gå på tværs af regionen, og der arbejdes ud fra en fælles forståelse for, at en kommende Udviklingsplatform i videst muligt omfang skal basere sig på det eksisterende og arbejde udviklingsorienteret i et virksomhedsrettet aktørnetværk under mottoet ""udvikling regionalt - forandring lokalt""!Forprojektet skal:Afdække, hvordan der aktuelt arbejdes med virksomhedernes sociale engagement og et rummeligt arbejdsmarked i regionen. Afdække behovet er for en Udviklingsplatform som beskrevet ovenfor.Udvikle en model for, hvordan en sådan platform kan arbejde (mission og metode) og for platformens organisering og finansiering. Skabe ejerskab for en sådan model.Skaffe midler til etableringen af en egentlig Udviklingsplatform.Initiativgruppen bag forprojektet udgøres af Herning Kommune, Ikast-Brande Kommune, Holstebro Kommune, Viborg Kommune, Det Midtjyske Netværk for virksomhederns sociale engagement, LO Herning-Ikast, DA og Beskæftigelsesregion Midtjylland. Projektet er forankret i Projekt Partnerskab med Herning Kommune som ansøgermyndighed.",DANMARK,Herning Kommune,Torvet 5,7400,Herning,49016.17801049565453034295714,eu_cofinancing_amount,,DANMARK,DK,,Herning kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Specialiseret rådgivning for vækstiværksættere. Delprojekt E: Bo hos en virksomhed,2008-01-01,2011-02-28,ERDF,Etab. og udvikling af nye virksomh.,783799.78,229103.78,"Se beskrivelse under ""Specialiseret rådgivning for vækstiværksættere. Delprojekt A: Administration og projektledelse""",DANMARK,Væksthus Midtjylland,Åbogade 15,8200,Århus N,30488.30117169110565523093559,eu_cofinancing_amount,,DANMARK,DK,,Midtjylland vaeksthus,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Bornholms A/S - Innovation produkter,2009-11-02,2011-12-31,ERDF,Innovation og videndeling,789538.29,318230.69,"Bornholms A/S er en mere end 94 årig konservesfabrik, som har udarbejdet en ny vækststrategi bl.a. omhandlende ny produkt- og emballagestrategi, som skal medvirke til at fremtidssikre virksomheden indenfor fødevarebranchen, samt styrke dens internationale konkurrenceevne og lønsomhed.Dette er blandt sket i en dialog med markedet.I dag pakkes og leveres produkterne i konservesdåser og glas. Der skal udvikles nye emballage typer. Virksomheden skal IFS (International Food Standard) og BRC (British Retail Consortium - kræver supermarkedskæderne i England) certificeres, og dermed leve op til fremtidens markeds- og kundekrav. En mindre del af de producerede produkter leveres igennem food service, men i fremtiden skal vi også kunne levere til storkøkkener, kantiner og catering, og dermed en meget større del til food service området. Dette kræver også autorisation til kølevarer. Gennemførelse af dette projektforløb kræver, at virksomheden tilegner sig den nødvendige know how, bl.a. gennem køb af ekstern bistand m.m. Gennemførelsen af dette projektforløb er afgørende for realiseringen af virksomhedens vækst- og markedstrategi.Denne ansøgning omfatter produktudvikling (produkter og emballage) og innovation.Der fremsendes samtidig ansøgning om medfinansiering af investeringer til bygningsmæssige ændringer - se anden ansøgning.",DANMARK,Bornholms A/S,Stenbrudsvej 35,3730,Nexø,42644.22999615689026769199677,eu_cofinancing_amount,,DANMARK,DK,,A bornholms s,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Anvendelse af ny teknologi i turistinformation,2008-09-01,2009-09-30,ERDF,Anvendelse af ny teknologi,805828.39,402914.2,"Projektets mål er at tilbyde Bornholms turister spændende, anderledes turistinformation formidlet på en ny måde gennem ny teknologi - GPS og bluetooth på mobiltelefon. Dette gøres ved at skabe to platforme på BornholmDen ene et rollespil, der udspilles på et afgrænset område på mobiltelefoner med GPS. Aktørerne spiller imod et audiovisuelt koncept, der ligger/hentes på telefonen. I den forbindelse skal der udvikles et spil, som spiller sammen med omgivelserne, så brugeren kan identificere sig med rollen og opleve via denne.Den anden er en platform, hvorfra man downloader turistinformation til sin egen mobiltelefon via en bluetooth-stander på Bornholmstrafikkens færge(r). Indholdet kan være almindelig turistinformation om seværdigheder, hoteller mv. men det kan også være f.eks. turguider eller byguider. Med denne teknologi får vi en platform, som kan udbygges med mange forskelligartede tilbud de kommende år.",DANMARK,Destination Bornholm ApS,Nordre Kystvej 3,3700,Rønne,54032.39952244014980279329663,eu_cofinancing_amount,,DANMARK,DK,,Aps bornholm destination,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Fjernarbejder hus i Tranum,2012-08-06,2015-06-30,ERDF,Anvendelse af ny teknologi,830000,415000,"Formålet med pilotprojektet ""Fjernarbejderhus i Tranum"" er at etablere et fjernarbejderhus i Tranum, hvor der er skabt fysiske- og tekniske rammer for, at borgere i Region Nordjylland kan arbejde herfra, istedet for at pendle til deres normale arbejdssted som geografisk kan ligge uden for Region Nordjylland. Fjernarbejderhuset i Tranum vil være tilgængelig for alle interesserede. I fjernarbejderhuset vil brugerne have 1 Gb/s download og upload tilrådighed - hvorfor fjernarbejderhuset i Tranum måske vil have verdens hurtigste internetforbindelse til rådighed. I fjernarbejderhuset i Tranum vil brugerne have adgang til faciliteter som normalt vil være på et arbejdssted. Projektet vil også have fokus på at rekruttere brugere og virksomheder til huset.",DANMARK,Jammerbugt Kommune,Toftevej 43,9440,Aabybro,55766.07809948999669447111671,eu_cofinancing_amount,,DANMARK,DK,,Jammerbugt kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Udenlandsk arbejdskraft - efteruddannelse og tiltrækning,2008-06-11,2012-02-29,ESF,Udvikling af menneskelige ressourcer,832026.7,416013.35,"Formålet med projektet er at etablere grundlaget for et internationalt arbejdsmarked i regionen omfattende Jylland/Fyn og Schleswig Holstein. Projektet sigter mod praksisnære løsninger, dvs. udgangspunktet er virksomheder, der gennem ledelsesudvikling og konkrete udviklingsaktiviteter forbedrer deres kompetencer til inddragelse af international arbejdskraft. En særlig problemstilling i projektet knytter sig til danske virksomheder med datterselskaber i udlandet. Personalepolitik og uddannelse af disse medarbejdere er en central problemstilling i projektet. Et nyt EU direktiv vil betyde, at alle chauffører i fremtiden hvert 5. år skal gennemføre et obligatorisk efteruddannelsesforløb. Opfyldelsen af EU direktivet er en konkret anledning for virksomhederne til at udvikle deres HR funktion. Projektet tager afsæt i dette som ""løftestang"" for internationalisering af virksomhedernes HR strategier. I projektet vil der blive gennemført følgende aktiviteter: Etablering af netværk mellem virksomheder, videninstitutioner, uddannelsesinstitutioner og brancheorganisationer om rekruttering af udenlandsk arbejdskraft. Kortlægning af uddannelser og udbydere af uddannelse rettet mod transport- og logistikerhvervet i Danmark, Tyskland og Polen. Gennemførelse af udviklingsforløb i 8 - 9 danske transportvirksomheder med datterselskaber i udlandet. Gennemførelse af elevprojekter med tyske studerende i danske transport- og logistikvirksomheder. Udveksling af studerende og elever i faglige uddannelser mellem danske og tyske virksomheder. Udvikling af strategi for integration og dansk-tysk arbejdsmarked. Generalisering af projektets resultatet med henblik på bred formidling til danske og udenlandske transport- og logistikvirksomheder.",DANMARK,EUC Syd,Grundtvigs Alle 88,6400,Sønderborg,55963.87831583834787584907922,eu_cofinancing_amount,,DANMARK,DK,,Euc syd,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
Senior Styrken,2007-11-12,2009-08-31,ESF,Udvikling af menneskelige ressourcer,834918.51,400000,"På europæisk niveau og på nationalt niveau er der fokus på, at flere seniorer bliver længere tid på arbejdsmarkedet. Der er behov for at flere virksomheder, arbejdsmarkeds-aktører og civile aktører bidrager til at seniorer bliver længst muligt på jobbet og får afsæt til et godt og aktivt liv efter jobbet. Demonstrationsprojektet Senior drejer sig om, at udforme og afprøve et 5- dages senior-seminar, hvor 20 medarbejdere under 60 år får vejledning og personlig afklaring i forhold til hvor og hvordan deres seniorressourcer og seniorkompetencer skal anvendes i en 3. alder til gavn for dem selv for virksomheden og for civilsamfundet. Erfaringer fra demonstrationsprojektet formidles efterfølgende via publikation og PR-arrangementer til centrale arbejdsmarkedsaktører i Region Midt.",DANMARK,Århus Kommune,Værkmestergade 15,8000,Århus C,53712.70552800000430693216913,eu_cofinancing_amount,,DANMARK,DK,,Arhus kommune,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
¿Udkantsunge¿ og deres forhold til ungdomsuddannelserne. En sociokulturel undersøgelse.,2007-07-06,2009-09-30,ESF,Udvikling af menneskelige ressourcer,837906.5,418953.25,"Det er den officielle danske målsætning, at størstedelen af de 16-19-årige skal kunne finde et attraktivtuddannelsesmæssigt ståsted i en ungdomsuddannelse. Imidlertid findes der stadig regionale yderområder, hvor tilgangen til ungdomsuddannelser ikke er på højde med landsgennemsnittet. Disse yderområder er regionale lokaliteter, der af forskellige kulturelle, geografiske og erhvervsmæssige grunde ligger i periferien af de økonomiske vækstcentre. I RegionSyddanmark drejer det sig om Faaborg - Midtfyn, Ærø, Langeland, Tønderområdet og muligvis også Nordfyn. Spørgsmålet er, hvad der er de dybereliggende årsager til, at unge i disse områder har andreuddannelsesmønstre og lavere uddannelsesfrekvens end landsgennemsnittet. (jf. Program for Den Europæiske Regionalfond i Danmark om ¿Innovation og Viden¿ s. 23 ff. og s. 36). Projektet sætter fokus på dette spørgsmål i en undersøgelse af udvalgte lokaliteter i de nævnte områder i Region Syddanmark med blik til yderområder i andre regioner. Desuden foreslås på baggrund af projektets empiriske resultater mulige indsatsområder, der kan fremme detoverordnede mål angående en højere uddannelsesfrekvens for de unge i yderområder. Som programmet for Den Europæiske Regionalfond viser, giver det basis for vækst på mange afledte felter, at en høj og helst voksende procentdel af unge får en kompetencegivende uddannelse. Det hedder således på s. 36: "" (¿) Det formelle uddannelsesniveau er steget i alle regioner igennem en årrække, men forskellene er blevet udvidet, idet uddannelsesløftet har været størst i de store byområder, som i forvejen har det højeste uddannelsesniveau. Det gælder især med hensyn til de lange videregående uddannelser. Samtidig er en betydelig del af arbejdsstyrken i alle regioner fortsat helt uden erhvervskompetencegivende uddannelse."" Projektet vil undersøge mulighederne for at udnytte yderområdernes menneskelige resurser bedre - specielt altså med hensyn til de unges uddannelsesvalg.",DANMARK,Syddansk Universitet,Campusvej 55,5230,Odense M,56362.79871563555520778965313,eu_cofinancing_amount,,DANMARK,DK,,Syddansk universitet,DK,,,,DKK,,,,,2007-2013,,,,,,,,,,,
